acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
46.52,43.41,43.81,44.49,0.445,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-11-35-50,2.9999999999999997e-05,0.5,8,2048,5,0.1,0.2
50.79,43.2,43.04,44.93,0.4761,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-11-56-14,2.5e-05,0.45,8,2048,5,0.1,0.2
68.76,63.73,63.22,65.22,0.6904,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-12-00-00,1e-05,0.45,8,2048,5,0.1,0.2
71.01,68.2,69.59,68.78,0.6849,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-12-06-18,3e-05,0.45,8,2048,5,0.1,0.2
71.46,67.19,66.67,68.61,0.6976,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-12-09-23,2e-05,0.45,8,2048,5,0.1,0.2
51.46,48.38,51.56,48.24,0.4931,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-11-57-14,2e-05,0.45,8,2048,5,0.1,0.2
49.21,43.25,44.36,43.58,0.4469,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-12-20-22,2.5e-05,0.45,8,2048,5,0.1,0.2
53.71,50.57,53.44,50.81,0.525,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-12-15-06,1e-05,0.4,8,2048,5,0.1,0.2
64.04,61.56,63.02,62.59,0.5974,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-12-21-20,2.5e-05,0.45,8,2048,5,0.1,0.2
70.56,66.21,67.08,66.56,0.6997,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-12-35-28,2e-05,0.4,8,2048,5,0.1,0.2
